slug,name,status,overall_pct,ED_pct,ED2_pct,EA_pct,RD_pct,flags,cds_url,verified_overall,verified_ED,verified_ED2,verified_EA,verified_RD,source_tier,source_link,notes
nyu,NYU,EST_plausible,9.1,25.0,22.0,,7.0,round_rates,,,,,,,,,
oberlin,Oberlin,EST_plausible,34.2,50.0,42.0,,30.0,round_rates,,,,,,,,,
olin,Olin College,EST_plausible,18.0,,,18.0,14.0,round_rates,,,,,,,,,
osu,Ohio State,EST_plausible,53.0,,,52.0,53.0,round_rates,,,,,,,,,
oxy,Occidental,EST_plausible,26.0,50.0,35.0,,26.0,round_rates,,,,,,,,,
parsons,Parsons (The New School),EST_plausible,61.0,,,61.0,58.0,round_rates,,,,,,,,,
penn-state,Penn State,EST_plausible,54.0,,,,54.0,round_rates,,,,,,,,,
pepperdine,Pepperdine,EST_plausible,62.9,51.0,,47.0,42.0,round_rates,,,,,,,,,
pitt,University of Pittsburgh,EST_plausible,59.5,,,,50.0,round_rates,,,,,,,,,
pitzer,Pitzer,EST_plausible,25.2,30.0,22.0,,15.0,round_rates,,,,,,,,,
pomona,Pomona,EST_plausible,7.1,15.0,10.0,,6.0,round_rates,,,,,,,,,
pratt,Pratt Institute,EST_plausible,76.0,76.0,62.0,,54.0,round_rates,,,,,,,,,
purdue,Purdue,EST_plausible,43.4,,,53.0,50.0,round_rates,,,,,,,,,
reed,Reed,EST_plausible,29.2,52.0,43.0,,27.0,round_rates,,,,,,,,,
risd,Rhode Island School of Design,EST_plausible,18.0,30.0,20.0,,17.0,round_rates,,,,,,,,,
rose-hulman,Rose-Hulman,EST_plausible,77.0,77.0,,73.0,70.0,round_rates,,,,,,,,,
rpi,RPI,EST_plausible,63.4,66.0,54.0,,56.0,round_rates,,,,,,,,,
rutgers,Rutgers,EST_plausible,65.0,,,,66.0,round_rates,,,,,,,,,
saic,School of the Art Institute of Chicago,EST_plausible,76.0,,,73.0,69.0,round_rates,,,,,,,,,
sc,University of South Carolina,EST_plausible,60.2,,,,64.0,round_rates,,,,,,,,,
scripps,Scripps,EST_plausible,38.3,38.0,29.0,,25.0,round_rates,,,,,,,,,
scu,Santa Clara,EST_plausible,48.0,,,50.0,49.0,round_rates,,,,,,,,,
sdsu,San Diego State,EST_plausible,36.0,,,,38.0,round_rates,,,,,,,,,
sjsu,San Jose State,EST_plausible,84.6,,,,77.0,round_rates,,,,,,,,,
skidmore,Skidmore,EST_plausible,26.0,50.0,35.0,,26.0,round_rates,,,,,,,,,
smith,Smith,EST_plausible,21.0,51.0,38.0,,22.0,round_rates,,,,,,,,,
spelman,Spelman,EST_plausible,43.0,47.0,,43.0,38.0,round_rates,,,,,,,,,
stevens,Stevens Institute,EST_plausible,47.0,66.0,54.0,,42.0,round_rates,,,,,,,,,
stony-brook,Stony Brook,EST_plausible,48.0,,,50.0,47.0,round_rates,,,,,,,,,
swarthmore,Swarthmore,EST_plausible,7.5,25.0,18.0,,6.0,round_rates,,,,,,,,,
tamu,Texas A&M,EST_plausible,51.7,,,,63.0,round_rates,,,,,,,,,
temple,Temple,EST_plausible,80.0,,,,80.0,round_rates,,,,,,,,,
trinity-ct,Trinity College,EST_plausible,38.0,62.0,50.0,,38.0,round_rates,,,,,,,,,
tufts,Tufts,EST_plausible,11.5,30.0,19.0,,7.0,round_rates,,,,,,,,,
tulane,Tulane,EST_plausible,14.5,42.0,,11.0,8.0,round_rates,,,,,,,,,
tuskegee,Tuskegee,EST_plausible,52.0,,,,52.0,round_rates,,,,,,,,,
ucdavis,UC Davis,EST_plausible,41.8,,,,42.0,round_rates,,,,,,,,,
uci,UC Irvine,EST_plausible,28.9,,,,29.0,round_rates,,,,,,,,,
uconn,University of Connecticut,EST_plausible,54.0,,,57.0,54.0,round_rates,,,,,,,,,
ucsb,UC Santa Barbara,EST_plausible,33.0,,,,26.0,round_rates,,,,,,,,,
udel,University of Delaware,EST_plausible,66.0,,,73.0,70.0,round_rates,,,,,,,,,
uf,University of Florida,EST_plausible,24.2,,,23.0,23.0,round_rates,,,,,,,,,
uga,University of Georgia,EST_plausible,37.9,,,42.0,38.0,round_rates,,,,,,,,,
uh,University of Houston,EST_plausible,73.9,,,,66.0,round_rates,,,,,,,,,
uiowa,University of Iowa,EST_plausible,87.0,,,,86.0,round_rates,,,,,,,,,
uiuc,University of Illinois,EST_plausible,42.4,,,60.0,43.0,round_rates,,,,,,,,,
uky,University of Kentucky,EST_plausible,94.0,,,,95.0,round_rates,,,,,,,,,
umaine,University of Maine,EST_plausible,96.6,,,92.0,90.0,round_rates,,,,,,,,,
umd,University of Maryland,EST_plausible,45.0,,,47.0,43.0,round_rates,,,,,,,,,
umich,University of Michigan,EST_plausible,15.6,,,22.0,17.0,round_rates,,,,,,,,,
umn,University of Minnesota,EST_plausible,70.0,,,,75.0,round_rates,,,,,,,,,
unc,UNC Chapel Hill,EST_plausible,15.3,,,19.0,15.0,round_rates,,,,,,,,,
unh,University of New Hampshire,EST_plausible,87.0,,,86.0,84.0,round_rates,,,,,,,,,
unl,University of Nebraska,EST_plausible,87.5,,,,83.0,round_rates,,,,,,,,,
uoregon,University of Oregon,EST_plausible,88.0,,,,86.0,round_rates,,,,,,,,,
uprm,University of Puerto Rico Mayagüez,EST_plausible,56.0,,,,66.0,round_rates,,,,,,,,,
usc,USC,EST_plausible,9.8,,,11.0,8.0,round_rates,,,,,,,,,
ut-austin,University of Texas at Austin,EST_plausible,26.6,,,,29.0,round_rates,,,,,,,,,
utah,University of Utah,EST_plausible,87.0,,,91.0,89.0,round_rates,,,,,,,,,
utk,University of Tennessee,EST_plausible,41.6,,,,45.0,round_rates,,,,,,,,,
uva,UVA,EST_plausible,16.8,29.0,,18.0,15.0,round_rates,,,,,,,,,
uvm,University of Vermont,EST_plausible,65.3,,,66.0,64.0,round_rates,,,,,,,,,
uw,University of Washington,EST_plausible,41.8,,,,43.0,round_rates,,,,,,,,,
vassar,Vassar,EST_plausible,20.9,43.0,28.0,,17.0,round_rates,,,,,,,,,
villanova,Villanova,EST_plausible,27.0,35.0,18.0,23.0,19.0,round_rates,,,,,,,,,
vt,Virginia Tech,EST_plausible,54.6,70.0,,62.0,56.0,round_rates,,,,,,,,,
wake-forest,Wake Forest,EST_plausible,20.8,45.0,30.0,,19.0,round_rates,,,,,,,,,
washu,Wash U St. Louis,EST_plausible,12.1,28.0,16.0,,9.0,round_rates,,,,,,,,,
wellesley,Wellesley,EST_plausible,14.1,38.0,26.0,,13.0,round_rates,,,,,,,,,
wesleyan,Wesleyan,EST_plausible,16.5,42.0,30.0,,14.0,round_rates,,,,,,,,,
whitman,Whitman,EST_plausible,45.0,70.0,50.0,,45.0,round_rates,,,,,,,,,
williams,Williams,EST_plausible,8.2,26.0,,,8.0,round_rates,,,,,,,,,
wisc,University of Wisconsin,EST_plausible,45.2,,,51.0,45.0,round_rates,,,,,,,,,
wm,William & Mary,EST_plausible,37.0,52.0,40.0,,31.0,round_rates,,,,,,,,,
wpi,WPI,EST_plausible,61.0,70.0,58.0,58.0,53.0,round_rates,,,,,,,,,
brown,Brown,REAL_likely,5.4,12.9,,,4.6,,,,,,,,,,
columbia,Columbia,REAL_likely,4.0,11.9,,,3.0,,,,,,,,,,
cornell,Cornell,REAL_likely,8.4,17.0,,,5.5,,,,,,,,,,
dartmouth,Dartmouth,REAL_likely,5.4,17.4,,,4.6,,,,,,,,,,
duke,Duke,REAL_likely,5.7,14.4,,,4.0,,,,,,,,,,
harvard,Harvard,REAL_likely,3.6,,,,3.0,,,,,,,,,,
mit,MIT,REAL_likely,4.5,,,5.3,4.5,,,,,,,,,,
princeton,Princeton,REAL_likely,4.6,,,,4.0,,,,,,,,,,
rice,Rice,REAL_likely,8.0,13.7,,,6.0,,,,,,,,,,
stanford,Stanford,REAL_likely,3.6,,,,3.1,,,,,,,,,,
ucb,UC Berkeley,REAL_likely,11.3,,,,11.5,,,,,,,,,,
ucla,UCLA,REAL_likely,9.4,,,,8.6,,,,,,,,,,
ucsd,UC San Diego,REAL_likely,28.6,,,,23.5,,,,,,,,,,
upenn,UPenn,REAL_likely,5.4,14.0,,,4.5,,,,,,,,,,
vanderbilt,Vanderbilt,REAL_likely,5.9,16.7,14.0,,4.5,,,,,,,,,,
yale,Yale,REAL_likely,3.9,,,,3.0,,,,,,,,,,
